PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COLLEGE,COUNTRY
"Kentavious
Caldwell-Pope",WAS,1,G,6-5,204 lbs,Georgia,USA
"Facundo
Campazzo",DEN,7,G,5-10,195 lbs,Murcia,Argentina
"Vlatko
Cancar",DEN,31,F,6-8,236 lbs,San Pablo Burgos,Slovenia
"Clint
Capela",ATL,15,C,6-10,256 lbs,Elan Chalon,Switzerland
"Vernon
Carey Jr.",CHA,22,F-C,6-9,270 lbs,Duke,USA
"Jevon
Carter",BKN,0,G,6-1,200 lbs,West Virginia,USA
"Wendell
Carter Jr.",ORL,34,C-F,6-10,270 lbs,Duke,USA
"Michael
Carter-Williams",ORL,7,G,6-5,190 lbs,Syracuse,USA
"Alex
Caruso",CHI,6,G,6-5,186 lbs,Texas A&M,USA
"Willie
Cauley-Stein",DAL,33,C,7-0,240 lbs,Kentucky,USA
"Justin
Champagnie",TOR,11,G-F,6-6,206 lbs,Pittsburgh,USA
"Chris
Chiozza",GSW,2,G,5-11,175 lbs,Florida,USA
"Josh
Christopher",HOU,9,G,6-3,215 lbs,Arizona State,USA
"Brandon
Clarke",MEM,15,F,6-8,215 lbs,Gonzaga,Canada
"Jordan
Clarkson",UTA,0,G,6-4,194 lbs,Missouri,USA
"Nic
Claxton",BKN,33,F-C,6-11,215 lbs,Georgia,USA
"Amir
Coffey",LAC,7,G-F,6-7,210 lbs,Minnesota,USA
"John
Collins",ATL,20,F-C,6-9,226 lbs,Wake Forest,USA
"Zach
Collins",SAS,23,F-C,6-11,250 lbs,Gonzaga,USA
"Mike
Conley",UTA,11,G,6-1,175 lbs,Ohio State,USA
"Pat
Connaughton",MIL,24,G,6-5,209 lbs,Notre Dame,USA
"Tyler
Cook",CHI,25,F,6-8,255 lbs,Iowa,USA
"Sharife
Cooper",ATL,2,G,6-1,176 lbs,Auburn,USA
"Petr
Cornelie",DEN,21,F,6-11,220 lbs,France,France
"Robert
Covington",POR,33,F,6-7,209 lbs,Tennessee State,USA
"Torrey
Craig",IND,13,F,6-7,221 lbs,South Carolina Upstate,USA
"Jae
Crowder",PHX,99,F,6-6,235 lbs,Marquette,USA
"Jarrett
Culver",MEM,23,G-F,6-6,195 lbs,Texas Tech,USA
"Cade
Cunningham",DET,2,G,6-6,220 lbs,Oklahoma State,USA
"Seth
Curry",PHI,31,G,6-2,185 lbs,Duke,USA
"Stephen
Curry",GSW,30,G,6-2,185 lbs,Davidson,USA
"Anthony
Davis",LAL,3,F-C,6-10,253 lbs,Kentucky,USA
"Ed
Davis",CLE,21,C-F,6-9,218 lbs,UNC,USA
"Terence
Davis",SAC,3,G,6-4,201 lbs,Mississippi,USA
"DeMar
DeRozan",CHI,11,G-F,6-6,220 lbs,USC,USA
"Gabriel
Deck",OKC,6,F,6-6,231 lbs,Real Madrid,Argentina
"Dewayne
Dedmon",MIA,21,C,7-0,245 lbs,USC,USA
"Sam
Dekker",,,F,6-8,219 lbs,Wisconsin,USA
"Donte
DiVincenzo",MIL,0,G,6-4,203 lbs,Villanova,USA
"Hamidou
Diallo",DET,6,G,6-5,202 lbs,Kentucky,USA
"Gorgui
Dieng",ATL,10,C,6-10,248 lbs,Louisville,Senegal
"Spencer
Dinwiddie",WAS,26,G,6-6,215 lbs,Colorado,USA
"Luka
Doncic",DAL,77,F-G,6-7,230 lbs,Real Madrid,Slovenia
"Luguentz
Dort",OKC,5,G,6-3,215 lbs,Arizona State,Canada
"Ayo
Dosunmu",CHI,12,G,6-4,200 lbs,Illinois,USA
"Devon
Dotson",CHI,3,G,6-1,185 lbs,Kansas,USA
"Sekou
Doumbouya",,,F,6-9,230 lbs,,France
"Jeff
Dowtin",GSW,4,G,6-3,177 lbs,Rhode Island,USA
"P.J.
Dozier",DEN,35,G-F,6-6,205 lbs,South Carolina,USA
"Goran
Dragic",TOR,1,G,6-3,190 lbs,Union Olimpija,Slovenia
"Andre
Drummond",PHI,1,C,6-10,279 lbs,Connecticut,USA
"Chris
Duarte",IND,3,G,6-5,190 lbs,Oregon,Dominican Republic
"David
Duke Jr.",BKN,6,G,6-4,204 lbs,Providence,USA
"Kevin
Durant",BKN,7,F,6-10,240 lbs,Texas,USA
"Anthony
Edwards",MIN,1,G,6-4,225 lbs,Georgia,USA
"Kessler
Edwards",BKN,14,F,6-7,203 lbs,Pepperdine,USA
"CJ
Elleby",POR,16,F-G,6-6,200 lbs,Washington State,USA
"Wayne
Ellington",LAL,2,G,6-4,207 lbs,UNC,USA
"Joel
Embiid",PHI,21,C-F,7-0,280 lbs,Kansas,Cameroon
"Drew
Eubanks",SAS,14,F-C,6-9,245 lbs,Oregon State,USA
"Tacko
Fall",CLE,99,C,7-6,311 lbs,Central Florida,Senegal
"Derrick
Favors",OKC,15,F,6-9,265 lbs,Georgia Tech,USA
"Bruno
Fernando",BOS,28,F-C,6-9,240 lbs,Maryland,Angola
"Dorian
Finney-Smith",DAL,10,F,6-7,220 lbs,Florida,USA
"Malik
Fitts",UTA,24,F,6-5,230 lbs,St. Mary's College,USA
"Malachi
Flynn",TOR,22,G,6-1,175 lbs,San Diego State,USA
"Bryn
Forbes",SAS,7,G,6-2,205 lbs,Michigan St,USA
"Trent
Forrest",UTA,3,G,6-4,210 lbs,Florida State,USA
"Evan
Fournier",NYK,13,G-F,6-6,205 lbs,Poitiers Basket 86,France
"De'Aaron
Fox",SAC,5,G,6-3,185 lbs,Kentucky,USA
"Markelle
Fultz",ORL,20,G,6-4,209 lbs,Washington,USA
"Daniel
Gafford",WAS,21,F-C,6-9,234 lbs,Arkansas,USA
"Danilo
Gallinari",ATL,8,F,6-10,236 lbs,Olimpia Milano,Italy
"Darius
Garland",CLE,10,G,6-1,192 lbs,Vanderbilt,USA
"Marcus
Garrett",MIA,0,G,6-5,205 lbs,Kansas,USA
"Usman
Garuba",HOU,16,F,6-8,229 lbs,Real Madrid,Spain
"Luka
Garza",DET,55,C,6-10,243 lbs,Iowa,USA
"Rudy
Gay",UTA,8,F-G,6-8,250 lbs,Connecticut,USA
"Paul
George",LAC,13,F,6-8,220 lbs,Fresno State,USA
"Taj
Gibson",NYK,67,F,6-9,232 lbs,USC,USA
"Josh
Giddey",OKC,3,G,6-8,205 lbs,NBA Global Academy,Australia
"Shai
Gilgeous-Alexander",OKC,2,G,6-6,180 lbs,Kentucky,Canada
"Anthony
Gill",WAS,16,F,6-7,230 lbs,Virginia,USA
"Rudy
Gobert",UTA,27,C,7-1,258 lbs,Cholet,France
"Aaron
Gordon",DEN,50,F,6-8,235 lbs,Arizona,USA
"Eric
Gordon",HOU,10,G,6-3,215 lbs,Indiana,USA
"Devonte'
Graham",NOP,4,G,6-1,195 lbs,Kansas,USA
"Jerami
Grant",DET,9,F,6-8,210 lbs,Syracuse,USA
"Danny
Green",PHI,14,G,6-6,215 lbs,UNC,USA
"Draymond
Green",GSW,23,F,6-6,230 lbs,Michigan St,USA
"JaMychal
Green",DEN,0,F-C,6-8,227 lbs,Alabama,USA
"Jalen
Green",HOU,0,G,6-4,186 lbs,NBA G League Ignite,USA
"Javonte
Green",CHI,24,G-F,6-5,205 lbs,Radford,USA
"Jeff
Green",DEN,32,F,6-8,235 lbs,Georgetown,USA
"Josh
Green",DAL,8,G,6-5,200 lbs,Arizona,Australia
"Blake
Griffin",BKN,2,F,6-9,250 lbs,Oklahoma,USA
"Quentin
Grimes",NYK,6,G,6-4,210 lbs,Houston,USA
"Rui
Hachimura",WAS,8,F,6-8,230 lbs,Gonzaga,Japan
"Tyrese
Haliburton",SAC,0,G,6-5,185 lbs,Iowa State,USA
"R.J.
Hampton",ORL,13,G,6-4,175 lbs,New Zealand Breakers,USA
"Tim
Hardaway Jr.",DAL,11,G-F,6-5,205 lbs,Michigan,USA
"James
Harden",BKN,13,G,6-5,220 lbs,Arizona State,USA
"Maurice
Harkless",SAC,8,F-G,6-7,220 lbs,St. John's,USA
"Montrezl
Harrell",WAS,6,F-C,6-7,240 lbs,Louisville,USA
"Gary
Harris",ORL,14,G,6-4,210 lbs,Michigan St,USA
"Joe
Harris",BKN,12,G-F,6-6,220 lbs,Virginia,USA
"Tobias
Harris",PHI,12,F,6-7,226 lbs,Tennessee,USA
"Josh
Hart",NOP,3,G,6-5,215 lbs,Villanova,USA
"Isaiah
Hartenstein",LAC,55,C-F,7-0,250 lbs,Zalgiris,Germany
"Udonis
Haslem",MIA,40,F,6-8,235 lbs,Florida,USA
"Sam
Hauser",BOS,30,F,6-7,217 lbs,Virginia,USA
"Jaxson
Hayes",NOP,10,C-F,6-11,220 lbs,Texas,USA
"Killian
Hayes",DET,7,G,6-5,195 lbs,Ratiopharm Ulm,France
"Gordon
Hayward",CHA,20,F,6-7,225 lbs,Butler,USA
"Aaron
Henry",PHI,50,F,6-5,210 lbs,Michigan St,USA
"Juancho
Hernangomez",BOS,41,F,6-9,214 lbs,Estudiantes,Spain
"Willy
Hernangomez",NOP,9,C-F,6-11,250 lbs,Cajasol Sevilla,Spain
"Tyler
Herro",MIA,14,G,6-5,195 lbs,Kentucky,USA
"Buddy
Hield",SAC,24,G,6-4,220 lbs,Oklahoma,Bahamas
"George
Hill",MIL,3,G,6-4,188 lbs,Indiana-Purdue Indianapolis,USA
"Solomon
Hill",ATL,18,F,6-6,226 lbs,Arizona,USA
"Aaron
Holiday",WAS,4,G,6-0,185 lbs,UCLA,USA
"Jrue
Holiday",MIL,21,G,6-3,205 lbs,UCLA,USA
"Justin
Holiday",IND,8,F-G,6-6,180 lbs,Washington,USA
"Richaun
Holmes",SAC,22,F,6-10,235 lbs,Bowling Green,USA
"Daulton
Hommes",NOP,34,F,6-8,215 lbs,Point Loma,USA
"Rodney
Hood",MIL,5,G-F,6-8,208 lbs,Duke,USA
"Al
Horford",BOS,42,C-F,6-9,240 lbs,Florida,Dominican Republic
